video,class,actual,predicted,confidence,frame,classification
Scenes 001-020__101B-1-_20230726152900590.mp4,Aligator Loki Plushie,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,Boastful Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,Classic Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,Kid Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,Loki's Armor,1.0,1,0.9541367292404175,64.0,TP
Scenes 001-020__101B-1-_20230726152900590.mp4,Loki's Variant uniform,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,Loki's dagger,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,Ravonna Renslayer's Uniform,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,Sylvie's Armor,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,Sylvie's horned headpiece,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,Sylvie's machete,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,TVA Collar,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,TVA Monitor,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,TVA Prisoner Uniform,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,TVA Uniform,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,TemPad,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,Time Stick,0.0,0,0.0,,TN
Scenes 001-020__101B-1-_20230726152900590.mp4,TimeSpear,0.0,0,0.0,,TN
Scenes 001-020__106D-5-_20230815151758589.mp4,Aligator Loki Plushie,0.0,0,0.0,,TN
Scenes 001-020__106D-5-_20230815151758589.mp4,Boastful Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__106D-5-_20230815151758589.mp4,Classic Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__106D-5-_20230815151758589.mp4,Kid Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__106D-5-_20230815151758589.mp4,Loki's Armor,1.0,0,0.0,,FN
Scenes 001-020__106D-5-_20230815151758589.mp4,Loki's Variant uniform,0.0,1,0.8545256853103638,83.0,FP
Scenes 001-020__106D-5-_20230815151758589.mp4,Loki's dagger,0.0,0,0.0,,TN
Scenes 001-020__106D-5-_20230815151758589.mp4,Ravonna Renslayer's Uniform,0.0,0,0.0,,TN
Scenes 001-020__106D-5-_20230815151758589.mp4,Sylvie's Armor,0.0,0,0.0,,TN
Scenes 001-020__106D-5-_20230815151758589.mp4,Sylvie's horned headpiece,0.0,0,0.0,,TN
Scenes 001-020__106D-5-_20230815151758589.mp4,Sylvie's machete,0.0,0,0.0,,TN
Scenes 001-020__106D-5-_20230815151758589.mp4,TVA Collar,0.0,0,0.0,,TN
Scenes 001-020__106D-5-_20230815151758589.mp4,TVA Monitor,0.0,0,0.0,,TN
Scenes 001-020__106D-5-_20230815151758589.mp4,TVA Prisoner Uniform,0.0,0,0.0,,TN
Scenes 001-020__106D-5-_20230815151758589.mp4,TVA Uniform,0.0,0,0.0,,TN
Scenes 001-020__106D-5-_20230815151758589.mp4,TemPad,0.0,0,0.0,,TN
Scenes 001-020__106D-5-_20230815151758589.mp4,Time Stick,0.0,0,0.0,,TN
Scenes 001-020__106D-5-_20230815151758589.mp4,TimeSpear,0.0,0,0.0,,TN
Scenes 001-020__106E-1- mos_20230727162142209.mp4,Aligator Loki Plushie,0.0,0,0.0,,TN
Scenes 001-020__106E-1- mos_20230727162142209.mp4,Boastful Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__106E-1- mos_20230727162142209.mp4,Classic Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__106E-1- mos_20230727162142209.mp4,Kid Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__106E-1- mos_20230727162142209.mp4,Loki's Armor,0.0,0,0.0,,TN
Scenes 001-020__106E-1- mos_20230727162142209.mp4,Loki's Variant uniform,0.0,0,0.0,,TN
Scenes 001-020__106E-1- mos_20230727162142209.mp4,Loki's dagger,0.0,0,0.0,,TN
Scenes 001-020__106E-1- mos_20230727162142209.mp4,Ravonna Renslayer's Uniform,0.0,0,0.0,,TN
Scenes 001-020__106E-1- mos_20230727162142209.mp4,Sylvie's Armor,0.0,0,0.0,,TN
Scenes 001-020__106E-1- mos_20230727162142209.mp4,Sylvie's horned headpiece,0.0,0,0.0,,TN
Scenes 001-020__106E-1- mos_20230727162142209.mp4,Sylvie's machete,0.0,0,0.0,,TN
Scenes 001-020__106E-1- mos_20230727162142209.mp4,TVA Collar,0.0,0,0.0,,TN
Scenes 001-020__106E-1- mos_20230727162142209.mp4,TVA Monitor,0.0,0,0.0,,TN
Scenes 001-020__106E-1- mos_20230727162142209.mp4,TVA Prisoner Uniform,0.0,1,0.9043688178062439,13.0,FP
Scenes 001-020__106E-1- mos_20230727162142209.mp4,TVA Uniform,0.0,0,0.0,,TN
Scenes 001-020__106E-1- mos_20230727162142209.mp4,TemPad,0.0,0,0.0,,TN
Scenes 001-020__106E-1- mos_20230727162142209.mp4,Time Stick,0.0,0,0.0,,TN
Scenes 001-020__106E-1- mos_20230727162142209.mp4,TimeSpear,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Aligator Loki Plushie,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Boastful Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Classic Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Kid Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Loki's Armor,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Loki's Variant uniform,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Loki's dagger,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Ravonna Renslayer's Uniform,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Sylvie's Armor,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Sylvie's horned headpiece,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Sylvie's machete,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,TVA Collar,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,TVA Monitor,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,TVA Prisoner Uniform,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,TVA Uniform,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,TemPad,1.0,1,0.8934259414672852,53.0,TP
Scenes 001-020__106F-1- mos_20230727161814055.mp4,Time Stick,0.0,0,0.0,,TN
Scenes 001-020__106F-1- mos_20230727161814055.mp4,TimeSpear,0.0,0,0.0,,TN
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,Aligator Loki Plushie,0.0,0,0.0,,TN
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,Boastful Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,Classic Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,Kid Loki Armor,0.0,0,0.0,,TN
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,Loki's Armor,1.0,1,0.841802716255188,43.0,TP
Scenes 001-020__106H-4- 408FPS_20230727115459941.mp4,Loki's Variant uniform,0.0,0,0.0,,TN
