predicted_class,confidence_score,finetuned_embedding,video,frame,fp_type,has_gt,actual_class,model_path,threshold
TVA Prisoner Uniform,0.9267522,[0.00908793 0.03334976 0.04250968 ... 0.01556835 0.02387002 0.02651507],Scenes 001-020__110A-2-_20230815160756908.mp4,77,FP,True,TVA Prisoner Uniform,../alpha/quick_test_balanced/representatives.pkl,0.8
TemPad,0.9176775,[0.00182145 0.01504329 0.01355781 ... 0.00128932 0.04042589 0.02419019],Scenes 001-020__111D-1-_20230728135829842.mp4,155,FP,True,TemPad,../alpha/quick_test_balanced/representatives.pkl,0.8
Sylvie's machete,0.8903948,[0.00015787 0.00156542 0.02092403 ... 0.01211677 0.05190433 0.00812562],Scenes 001-020__306B-5-_20230815201805729.mp4,65,FP,True,Sylvie's machete,../alpha/quick_test_balanced/representatives.pkl,0.8
TVA Prisoner Uniform,0.88637125,[0.00155389 0.05504381 0.04246188 ... 0.02255982 0.02658813 0.01003836],Scenes 001-020__106E-1- mos_20230727162142209.mp4,13,FP,True,TVA Prisoner Uniform,../alpha/quick_test_balanced/representatives.pkl,0.8
TVA Collar,0.88442445,[0.0086518  0.03485042 0.01310626 ... 0.01788511 0.00135648 0.01403648],Scenes 001-020__111D-1-_20230728135829842.mp4,54,FP,True,TVA Collar,../alpha/quick_test_balanced/representatives.pkl,0.8
TVA Prisoner Uniform,0.8841023,[0.01280192 0.03307081 0.04262442 ... 0.01813423 0.02667689 0.03041262],Scenes 001-020__303L-1-_20230815223024888.mp4,28,FP,True,TVA Prisoner Uniform,../alpha/quick_test_balanced/representatives.pkl,0.8
TemPad,0.8838944,[0.00174222 0.01509524 0.00045292 ... 0.0023643  0.06066431 0.02321691],Scenes 001-020__108E-1-_20230727173710924.mp4,83,FP,True,TemPad,../alpha/quick_test_balanced/representatives.pkl,0.8
TimeSpear,0.87680495,[0.00934416 0.00077267 0.0342867  ... 0.00288615 0.00035551 0.00341376],Scenes 021-040__237B-1-_20230815180326204.mp4,35,FP,True,TimeSpear,../alpha/quick_test_balanced/representatives.pkl,0.8
Sylvie's machete,0.87642,[0.00125548 0.00306001 0.02260401 ... 0.00506012 0.0198449  0.00393765],Scenes 001-020__306C-1-_20230815201919138.mp4,68,FP,True,Sylvie's machete,../alpha/quick_test_balanced/representatives.pkl,0.8
Sylvie's horned headpiece,0.8738377,[0.01590002 0.0361374  0.00071094 ... 0.00577705 0.01093079 0.00208701],Scenes 001-020__201K-1-_20230815184646280.mp4,20,FP,True,Sylvie's horned headpiece,../alpha/quick_test_balanced/representatives.pkl,0.8
TemPad,0.867188,[0.         0.03078692 0.00417686 ... 0.00224938 0.03891155 0.03494718],Scenes 001-020__211H-2-_20230815190456898.mp4,81,FP,True,TemPad,../alpha/quick_test_balanced/representatives.pkl,0.8
Sylvie's machete,0.86113197,[0.00416334 0.00129185 0.01986446 ... 0.01093783 0.03861215 0.01198886],Scenes 001-020__309-3-_20230815150109755.mp4,24,FP,True,Sylvie's machete,../alpha/quick_test_balanced/representatives.pkl,0.8
TVA Prisoner Uniform,0.8610668,[0.01023557 0.07164177 0.03709996 ... 0.01331928 0.01293491 0.0235452 ],Scenes 041-060__244B-1-_20230815212053650.mp4,62,FP,True,TVA Prisoner Uniform,../alpha/quick_test_balanced/representatives.pkl,0.8
TemPad,0.8575052,[0.00039432 0.00512053 0.00669183 ... 0.00140833 0.04590615 0.02227309],Scenes 021-040__221-4-_20230815180803766.mp4,37,FP,True,TemPad,../alpha/quick_test_balanced/representatives.pkl,0.8
Sylvie's machete,0.8550089,[0.00026405 0.00575632 0.02148947 ... 0.01336623 0.01603687 0.00679639],Scenes 001-020__306-1-_20230803124944118.mp4,62,FP,True,Sylvie's machete,../alpha/quick_test_balanced/representatives.pkl,0.8
TimeSpear,0.85467786,[0.00854359 0.00394866 0.02685415 ... 0.00067708 0.00218944 0.01133812],Scenes 001-020__303L-1-_20230815223024888.mp4,90,FP,True,TimeSpear,../alpha/quick_test_balanced/representatives.pkl,0.8
