video,frame,class,original_wrong_prediction,reason
Scenes 001-020__108E-1-_20230727173710924.mp4,148,not_TemPad,TemPad,false_positive_negative
Scenes 001-020__110C-1-_20230728125333457.mp4,56,not_TemPad,TemPad,false_positive_negative
Scenes 001-020__216A-4b- only_20230815182553047.mp4,42,not_TemPad,TemPad,false_positive_negative
Scenes 001-020__220D-2-_20230815190723523.mp4,9,not_TemPad,TemPad,false_positive_negative
Scenes 001-020__302-2_20230815200213180.mp4,18,not_TimeSpear,TimeSpear,false_positive_negative
Scenes 001-020__303K-3-_20230815223320788.mp4,247,not_TemPad,TemPad,false_positive_negative
Scenes 001-020__303L-1-_20230815223024888.mp4,107,not_TemPad,TemPad,false_positive_negative
Scenes 001-020__317-9-_20230815232900331.mp4,22,not_TimeSpear,TimeSpear,false_positive_negative
Scenes 021-040__222-2-_20230815185458410.mp4,40,not_TemPad,TemPad,false_positive_negative
Scenes 021-040__226A-1-_20230815185254846.mp4,102,not_TemPad,TemPad,false_positive_negative
Scenes 021-040__536A-3-_20230816063724398.mp4,147,not_TemPad,TemPad,false_positive_negative
Scenes 041-060__156-5a- only pu_20230815181240389.mp4,180,not_TemPad,TemPad,false_positive_negative
Scenes 041-060__156-6a- only pu_20230815175525189.mp4,79,not_TemPad,TemPad,false_positive_negative
Scenes 061-080__165A-1-_20230815180241405.mp4,39,not_TemPad,TemPad,false_positive_negative
Scenes 061-080__165A-1-_20230815180241405.mp4,128,not_TimeSpear,TimeSpear,false_positive_negative
Scenes 061-080__165A-4-_20230815180313546.mp4,208,not_TemPad,TemPad,false_positive_negative
Scenes 061-080__165A-4-_20230815180313546.mp4,26,not_TimeSpear,TimeSpear,false_positive_negative
