iteration,timestamp,video,frame,class,original_wrong_prediction,reason
2,2025-05-30T16:11:32.133543,Scenes 021-040__440H-2b-_20230816031331933.mp4,55,not_Aligator Loki Plushie,Aligator Loki Plushie,false_positive_negative
2,2025-05-30T16:11:32.133543,Scenes 001-020__504K-1-_20230816050602143.mp4,28,not_Loki's Variant uniform,Loki's Variant uniform,false_positive_negative
2,2025-05-30T16:11:32.133543,Scenes 021-040__226A-1-_20230815185254846.mp4,19,not_Loki's dagger,Loki's dagger,false_positive_negative
2,2025-05-30T16:11:32.133543,Scenes 001-020__314-3_20230815232058756.mp4,119,not_Sylvie's machete,Sylvie's machete,false_positive_negative
2,2025-05-30T16:11:32.133543,Scenes 001-020__506E-1ng_b_20230816043951139.mp4,0,not_Sylvie's machete,Sylvie's machete,false_positive_negative
2,2025-05-30T16:11:32.133543,Scenes 021-040__222-2-_20230815185458410.mp4,38,not_Sylvie's machete,Sylvie's machete,false_positive_negative
2,2025-05-30T16:11:32.133543,Scenes 021-040__226A-1-_20230815185254846.mp4,119,not_Sylvie's machete,Sylvie's machete,false_positive_negative
2,2025-05-30T16:11:32.133543,Scenes 061-080__165A-1-_20230815180241405.mp4,25,not_Sylvie's machete,Sylvie's machete,false_positive_negative
2,2025-05-30T16:11:32.133543,Scenes 061-080__165A-1-_20230815180241405.mp4,92,not_TVA Collar,TVA Collar,false_positive_negative
2,2025-05-30T16:11:32.133543,Scenes 001-020__509-3_20230815200533637.mp4,43,not_TemPad,TemPad,false_positive_negative
2,2025-05-30T16:11:32.133543,Scenes 021-040__222-2-_20230815185458410.mp4,58,not_TemPad,TemPad,false_positive_negative
2,2025-05-30T16:11:32.133543,Scenes 021-040__235C-2- mos_20230815192640043.mp4,5,not_TemPad,TemPad,false_positive_negative
2,2025-05-30T16:11:32.133543,Scenes 041-060__156-6a- only pu_20230815175525189.mp4,70,not_TemPad,TemPad,false_positive_negative
2,2025-05-30T16:11:32.133543,Scenes 041-060__156F-1-_20230815175731629.mp4,98,not_TemPad,TemPad,false_positive_negative
2,2025-05-30T16:11:32.133543,Scenes 021-040__137E-1-_20230815175038515.mp4,86,not_TimeSpear,TimeSpear,false_positive_negative
2,2025-05-30T16:11:32.133543,Scenes 061-080__265N-1_20230815220141511.mp4,34,not_TimeSpear,TimeSpear,false_positive_negative
